rank	locus	zl3b_line	manual_workshop_translation_de	notes
1	f100v.15	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	Samenportion, vollständig getrocknet; zweite abgemessene Fraktion im Grundansatz mit trockenem Drogenstoff. Hierzu den vollständig erhitzten Holzdrogenansatz nehmen; vollständig getrocknetes Trockengut, bis zur Mittelstufe erhitzter Drogenstoff, Trockenansatz aus kaltem Material und Saatgut.	Nominale P-Spezifikation mit lokal sichtbarer Grenzlesung qo|olkeey; keine zusätzliche Menge.
2	f102v2.23	okey okey shey okey oiees or eey	Heiße Ansatzmittelstufe, nochmals heiße Mittelstufe, dann Feuchtmittelstufe und erneut heiß; Ansatzcharge II auf Endstufe mit einer Drogenportion. Endstufe abschließen.	oiees als gelernte Ansatzcharge II auf Endstufe; die Portion stammt allein aus or.
3	f105v.28	oeoar ar al odor aiil otaiin	Erste Fraktion des Ansatzes auf Endstufe: Drogenfraktion I aus Rohstoff I; abgemessene Ansatzportion aus Rohstoff III, kalt auf Stufe III.	oeoar bleibt nominale Fraktion; odor lizenziert das Abmessen der Ansatzportion.
4	f107v.10	shodaiin shey qokair qokaiin chokedy tain shedy	Weiche drei Dosen Feuchtansatz bis zur Mittelstufe ein. Nimm die zweite erhitzte Drogenfraktion, erhitze sie auf Stufe III, trockne den heißen Ansatz bis zur Mittelstufe und schließe; kühle auf Stufe II, weiche bis zur Mittelstufe ein und schließe ab.	qokair als zweite erhitzte Fraktion; sämtliche Stufen bleiben sichtbar.
5	f10r.6	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Nimm hiervon eine bis zur Mittelstufe getrocknete Portion Krautdroge und Pflanzenteil, dazu drei Teile Blatt-/Krautgut. Nimm die Krautdroge in Grundform, schließe den Posten, trockne leicht, kühle auf Stufe III und feuchte leicht an.	qoctholy ist der konkrete Krautbefehl; kein unmarkiertes Wasser.
6	f114v.19	o shsodaiin chotain qotar	Ansatz aus drei Dosen eingeweichter Saatgutzubereitung; Trockenansatz auf Kühlstufe II und erste kalte Drogenfraktion.	Nominale S-Zeile; shsodaiin verbindet Saatgutzubereitung, Einweichen und drei Dosen.
7	f13v.3	qokchy qokod chy otchy cthody	Trockne den Ansatz zunächst heiß an; erhitze ihn und schließe ab. Trockne leicht, führe ihn kalt-trocken auf die Anfangsstufe und gib den fertigen Krautansatz hinzu.	qokod als Erhitzen plus terminaler Abschluss; cthody bleibt fertiger Krautansatz.
8	f17v.15	ychor cthy cheeky cheo otor oteol	Nimm hiervon den Pflanzenteil und die Krautdroge. Trockne vollständig und erwärme leicht nach; gib den Trockenansatz und eine kalte Ansatzportion hinzu und kühle den Drogenstoff im Ansatz bis zur Mittelstufe.	oteol als Kühlhandlung am Drogenstoff; otor lizenziert die Portion.
9	f17v.19	dain chey qoaiin cthor cholchom	Auf Stufe II bis zur Mittelstufe trocknen. Nimm drei Teile einer Portion Blatt-/Krautdroge und eine Handvoll nachgetrocknetes Trockengut.	cholchom als gelernte Handvoll-Ganzform; qoaiin liefert drei Teile.
10	f18r.6	ychy kchor dair ytol chcthy dar dar dal	Trockne hiervon leicht. Nimm die heiß-trockene Drogenportion und die abgemessene zweite Fraktion; kühle hiervon den Drogenstoff. Dazu getrocknete Krautdroge, zweimal die erste abgemessene Fraktion und abgemessener Rohstoff I.	ychy als kurzer anaphorischer Trockenbefehl; keine zusätzliche Portion.
11	f18v.10	yko dshy dair ykol dom	Erhitze hiervon den Ansatz. Nimm eine Dosis leicht angefeuchtete Droge und die abgemessene zweite Fraktion; erhitze hiervon den Drogenstoff und miss eine Handvoll Ansatz ab.	yko regiert den Ansatz, ykol den Drogenstoff; dom allein trägt die Handvoll.
12	f18v.2	qoeees or oaiin shy okshy qokchy qokchy s g	Nimm eine Ansatzcharge auf Endstufe: eine Drogenportion und Ansatzmenge III. Feuchte leicht an, erwärme feucht, trockne zweimal unter Wärme auf Anfangsstufe, gib Saatgut hinzu und schließe den Rezeptposten ab.	qoeees ist Charge plus Endstufe; freies g folgt dem GDT666-Kontextaudit als Postenabschluss.
13	f18v.9	okchor qotchy qokchy ytol doky dy	Eine Portion heiß-trockene Droge im Ansatz kalt antrocknen, danach heiß antrocknen. Kühle hiervon den Drogenstoff, erhitze eine Dosis Ansatz leicht und schließe den Posten.	doky enthält die Dosis; dy liefert den nachfolgenden Abschluss.
14	f19v.9	ychor oky chor ytol chol oky ddor	Nimm hiervon den Pflanzenteil im leicht erhitzten Ansatz. Kühle hiervon den Drogenstoff; gib Trockengut in den leicht erhitzten Ansatz und miss eine Dosis als Drogenportion ab.	ddor als gelernte doppelte d-Messform, nicht als zwei Portionen.
15	f24v.9	ychol chol or chor om	Nimm hiervon Trockengut: eine Drogenportion mit Pflanzenteil und eine Handvoll Ansatz.	Kurze nominale Herbal-Zeile; or und om tragen die beiden unterschiedlichen Mengen.
16	f35v.15	ykol cheol okchy tch	Erhitze hiervon den trockenen Drogenstoff; bringe ihn als heiß-trockenen Ansatz auf die Anfangsstufe und trockne ihn kalt nach.	tch als ausführbares kaltes Trocknen, nicht als Stoffname.
17	f36v.12	ytol kchy oty chd	Kühle hiervon den Drogenstoff. Trockne ihn heiß auf Anfangsstufe, bringe ihn in den leicht gekühlten Ansatz und schließe die Trocknung ab.	chd als terminaler Trockenabschluss; kein Abziehen oder Fluss.
18	f3r.2	ycheor chor dam qotcham cham	Nimm hiervon eine bis zur Mittelstufe getrocknete Portion Pflanzenteil, Dosis I. Nimm ein Maß kalt getrocknete Droge und ein Maß Trockendroge.	qotcham und cham liefern je ein Maß mit verschiedenem Prozesszustand.
19	f3r.3	ochor qocheor chol daiin cthy	Angesetzter Pflanzenteil: nimm eine Portion getrocknete Droge; dazu Trockengut auf Stufe III und Krautdroge.	qocheor als konkreter Portionsbefehl; daiin bleibt hier Stufenwert III.
20	f44v.13	lchor shol dairl	Holziger Pflanzenteil in feuchtem Drogenmaterial; abgemessene zweite Holzfraktion.	Rein nominale Dreiwortzeile; dairl als Holzfraktion II, nicht Rohstoffmenge.
21	f53v.10	ychocthy qodal shodaiin	Nimm hiervon die getrocknete Krautzubereitung, dazu abgemessenen Rohstoff I im Ansatz und drei Dosen Feuchtansatz.	ychocthy als anaphorischer Krautzubereitungsbefehl; beide Mengen sind sichtbar markiert.
22	f6v.21	ycheor chor octham	Nimm hiervon eine bis zur Mittelstufe getrocknete Portion Pflanzenteil und ein Maß Krautansatz.	octham als exakte Krautansatz-Maßform.
23	f83r.38	or chey qockhey dairydy	Eine Drogenportion bis zur Mittelstufe trocknen; den Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten, die zweite Fraktion abmessen und fertigstellen.	dairydy als gelernte Fraktion-II-Fertigform; internes y wird nicht exportiert.
24	f93r.18	olkees shodaiin shody	Charge vollständig erhitzten Holzdrogenansatzes mit drei Dosen Feuchtansatz, vollständig eingeweicht.	Nominale Herbal-Charge; terminales s in olkees, keine zusätzliche Handlung.
25	f9v.11	ychor chshoty oky kaiin	Nimm hiervon den Pflanzenteil; feuchte die getrocknete Droge an, kühle sie leicht, erwärme den Ansatz zunächst leicht und danach auf Stufe III.	chshoty als konkrete Trocken→Feucht→Kalt-Folge; kein unmarkierter Stoff.
